date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:59:31	231013/231013	---MC-	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202019%2014:59:30%20GMT	https://data4gsieutoc.com/robots.txt		(from )
21:59:32	254665/254665	---MC-	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202019%2014:59:30%20GMT	https://data4gsieutoc.com/	C:/My%20Web%20Sites/aaaa/data4gsieutoc.com/index.html	(from )
21:59:32	140702/140702	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Mar%202019%2016:11:00%20GMT	https://data4gsieutoc.com/img/banner_share.jpg	C:/My%20Web%20Sites/aaaa/data4gsieutoc.com/img/banner_share.jpg	(from https://data4gsieutoc.com/)
21:59:32	4286/4286	---M--	200	added ('OK')	image/x-icon	date:Sun,%2028%20Apr%202019%2010:20:04%20GMT	https://data4gsieutoc.com/favicon.ico	C:/My%20Web%20Sites/aaaa/data4gsieutoc.com/favicon.ico	(from https://data4gsieutoc.com/)
21:59:33	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%221550076050%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/My%20Web%20Sites/aaaa/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from https://data4gsieutoc.com/)
21:59:35	55111/55111	---MCZ	200	added ('OK')	text/css	etag:W/%22e4c542a7f6bf6f74fdd8cdf6e8096396%22	https://use.fontawesome.com/releases/v5.8.1/css/all.css	C:/My%20Web%20Sites/aaaa/use.fontawesome.com/releases/v5.8.1/css/all.css	(from https://data4gsieutoc.com/)
21:59:35	2500/2500	---M--	200	added ('OK')	text/css	date:Sun,%2012%20May%202019%2013:04:47%20GMT	https://data4gsieutoc.com/style.css	C:/My%20Web%20Sites/aaaa/data4gsieutoc.com/style.css	(from https://data4gsieutoc.com/)
21:59:41	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/aaaa/www.google-analytics.com/analytics.js	(from https://data4gsieutoc.com/)
21:59:41	46855/46855	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Mar%202019%2006:15:00%20GMT	https://data4gsieutoc.com/img/logo-4g-st.png	C:/My%20Web%20Sites/aaaa/data4gsieutoc.com/img/logo-4g-st.png	(from https://data4gsieutoc.com/)
21:59:41	230626/230626	---MC-	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202019%2014:59:37%20GMT	https://data4gsieutoc.com/goi-data-dcom	C:/My%20Web%20Sites/aaaa/data4gsieutoc.com/goi-data-dcom.html	(from https://data4gsieutoc.com/)
21:59:41	230626/230626	---MC-	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202019%2014:59:35%20GMT	https://data4gsieutoc.com/data-theo-ngay	C:/My%20Web%20Sites/aaaa/data4gsieutoc.com/data-theo-ngay.html	(from https://data4gsieutoc.com/)
21:59:42	230626/230626	---MC-	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202019%2014:59:41%20GMT	https://data4gsieutoc.com/goi-combo	C:/My%20Web%20Sites/aaaa/data4gsieutoc.com/goi-combo.html	(from https://data4gsieutoc.com/)
21:59:42	278635/278635	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Mar%202019%2004:56:00%20GMT	https://data4gsieutoc.com/img/banner.jpg	C:/My%20Web%20Sites/aaaa/data4gsieutoc.com/img/banner.jpg	(from https://data4gsieutoc.com/)
21:59:43	86927/86927	---MC-	200	added ('OK')	text/javascript	date:Thu,%2025%20Jan%202018%2015:33:24%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/aaaa/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://data4gsieutoc.com/)
21:59:43	21004/21004	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c5043fc-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/My%20Web%20Sites/aaaa/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from https://data4gsieutoc.com/)
21:59:43	58072/58072	---M-Z	200	added ('OK')	text/javascript	etag:%221550076057%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	C:/My%20Web%20Sites/aaaa/maxcdn.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from https://data4gsieutoc.com/)
21:59:44	306086/306086	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Mar%202019%2016:26:00%20GMT	https://data4gsieutoc.com/img/viettel8.jpg	C:/My%20Web%20Sites/aaaa/data4gsieutoc.com/img/viettel8.jpg	(from https://data4gsieutoc.com/style.css)
